,id,title,overview,original_language,runtime,origin_country,budget,revenue,release_date,genres,production_companies,revenue_per_budget,yearmonthday,yearmonth,year
39,138103,The Expendables 3,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.",en,126,US,95000000,214657577,2014-08-07,"Action, Adventure, Thriller","Davis Films, Ex3 Productions, Fipex Holding, Lionsgate, Millennium Media, Nu Image Entertainment",2.259553442105263,20140807,201408,2014
40,224141,Into the Woods,"In a woods filled with magic and fairy tale characters, a baker and his wife set out to end the curse put on them by their neighbor, a spiteful witch.",en,125,US,50000000,212902372,2014-12-24,"Fantasy, Comedy","Walt Disney Pictures, Marc Platt Productions, Lucamar Productions",4.25804744,20141224,201412,2014
41,228150,Fury,"April, 1945. As the Allies make their final push in the European Theatre, a battle-hardened army sergeant named Wardaddy commands a Sherman tank and her five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, and with a rookie soldier thrust into their platoon, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",en,135,US,68000000,211817906,2014-10-15,"War, Drama, Action","Columbia Pictures, QED International, LStar Capital, Le Grisbi Productions, Crave Films",3.114969205882353,20141015,201410,2014
42,136797,Need for Speed,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles.",en,131,US,66000000,203277636,2014-03-12,"Action, Crime, Drama, Thriller","DreamWorks Pictures, Reliance Entertainment, Bandito Brothers, Mark Sourian Productions, John Gatins Productions, Touchstone Pictures, Electronic Arts",3.0799641818181818,20140312,201403,2014
43,193610,The Other Woman,"After discovering her boyfriend is married, Carly soon meets the wife he's been cheating on. And when yet another affair is discovered, all three women team up to plot mutual revenge on the three-timing SOB.",en,109,US,40000000,196800000,2014-04-16,"Comedy, Romance","LBI Productions, 20th Century Fox, TSG Entertainment",4.92,20140416,201404,2014
44,156022,The Equalizer,"McCall believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when he meets Teri, a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",en,132,US,55000000,192330738,2014-09-24,"Thriller, Action, Crime","Lonetree Entertainment, Columbia Pictures, Village Roadshow Pictures, Escape Artists, LStar Capital, Mace Neufeld Productions",3.496922509090909,20140924,201409,2014
45,284298,Breakup Buddies,"Recently cuckolded and reeling from a messy divorce, a hapless former singer hits the road - and the bar - with his all-too-helpful best bud, in this hilarious romantic comedy.",zh,116,CN,0,189000000,2014-09-26,"Comedy, Romance",Dirty Monkey Productions,,20140926,201409,2014
46,119892,The Monkey King,"Sun Wukong is a monkey born from a heavenly stone who acquires supernatural powers. After rebelling against heaven and being imprisoned under a mountain for 500 years, he later accompanies the monk Xuanzang on a journey to India. Thus, according to legend, Buddhism is brought to ancient China.",zh,119,CN,82000000,182206924,2014-01-09,"Action, Adventure, Family, Fantasy","Filmko Pictures, Mandarin Films, Beijing Wen Hua Dong Run Investment, China Film Group Corporation",2.2220356585365852,20140109,201401,2014
46,119892,The Monkey King,"Sun Wukong is a monkey born from a heavenly stone who acquires supernatural powers. After rebelling against heaven and being imprisoned under a mountain for 500 years, he later accompanies the monk Xuanzang on a journey to India. Thus, according to legend, Buddhism is brought to ancient China.",zh,119,HK,82000000,182206924,2014-01-09,"Action, Adventure, Family, Fantasy","Filmko Pictures, Mandarin Films, Beijing Wen Hua Dong Run Investment, China Film Group Corporation",2.2220356585365852,20140109,201401,2014
47,262391,Serial (Bad) Weddings,A catholic French couple sees their life upside down when their four daughters get married to men of different religion and origins.,fr,94,FR,13000000,176404493,2014-04-16,Comedy,UGC,13.569576384615385,20140416,201404,2014
48,120467,The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",en,100,US,30000000,174600318,2014-02-26,"Comedy, Drama","Fox Searchlight Pictures, Studio Babelsberg, Indian Paintbrush, TSG Entertainment, American Empirical Pictures",5.8200106,20140226,201402,2014
49,100042,Dumb and Dumber To,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",en,110,US,40000000,169837010,2014-11-12,Comedy,"New Line Cinema, Universal Pictures, Conundrum Entertainment, Red Granite Pictures",4.24592525,20141112,201411,2014
50,140607,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",en,136,US,245000000,2068223624,2015-12-15,"Adventure, Action, Science Fiction","Lucasfilm Ltd., Bad Robot",8.44172907755102,20151215,201512,2015
51,135397,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",en,124,US,150000000,1671537444,2015-06-06,"Action, Adventure, Science Fiction, Thriller","Amblin Entertainment, Universal Pictures, Legendary Pictures",11.14358296,20150606,201506,2015
52,168259,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,en,139,US,190000000,1515400000,2015-04-01,"Action, Crime, Thriller","Original Film, One Race, Universal Pictures",7.975789473684211,20150401,201504,2015
53,99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",en,141,US,365000000,1405403694,2015-04-22,"Action, Adventure, Science Fiction",Marvel Studios,3.8504210794520546,20150422,201504,2015
54,211672,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",en,91,US,74000000,1159457503,2015-06-17,"Family, Animation, Adventure, Comedy","Illumination, Universal Pictures",15.668344635135135,20150617,201506,2015
55,206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",en,148,GB,245000000,880707597,2015-10-26,"Action, Adventure, Thriller","Metro-Goldwyn-Mayer, Columbia Pictures, EON Productions, B24",3.5947248857142857,20151026,201510,2015
56,150540,Inside Out,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",en,95,US,175000000,857611174,2015-06-17,"Animation, Family, Adventure, Drama, Comedy",Pixar,4.90063528,20150617,201506,2015
57,177677,Mission: Impossible - Rogue Nation,"Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF.",en,131,US,150000000,682716636,2015-07-28,"Action, Adventure","Paramount Pictures, Bad Robot, Odin, Skydance Media",4.55144424,20150728,201507,2015
58,131634,The Hunger Games: Mockingjay - Part 2,"As the war between the Capitol and the districts reaches its peak, Katniss Everdeen embarks on a perilous mission to liberate Panem and confront President Snow. Joined by a team of trusted allies, she navigates deadly traps, shifting loyalties, and the heavy cost of rebellion, determined to bring freedom to her people and end the Hunger Games once and for all.",en,137,US,160000000,653428261,2015-11-18,"Action, Adventure, Science Fiction","Lionsgate, Color Force, Studio Babelsberg",4.08392663125,20151118,201511,2015
59,286217,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",en,141,US,108000000,631058917,2015-09-30,"Drama, Adventure, Science Fiction","Genre Films, TSG Entertainment, 20th Century Fox, Scott Free Productions",5.84313812037037,20150930,201509,2015
60,216015,Fifty Shades of Grey,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",en,125,US,40000000,569651467,2015-02-11,"Drama, Romance, Thriller","Universal Pictures, Focus Features, Michael De Luca Productions, Trigger Street Productions",14.241286675,20150211,201502,2015
61,150689,Cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",en,105,US,95000000,543514353,2015-03-06,"Romance, Fantasy, Family, Drama","Walt Disney Pictures, Genre Films, Beagle Pug Films, Allison Shearmur Productions",5.721203715789474,20150306,201503,2015
62,281957,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",en,157,US,135000000,532950503,2015-12-25,"Western, Drama, Adventure","Monarchy Enterprises S.a.r.l., Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures, Hong Kong Alpha Motion Pictures Co., M Productions, RatPac Entertainment",3.9477815037037036,20151225,201512,2015
63,102899,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",en,117,US,130000000,519311965,2015-07-14,"Science Fiction, Action, Adventure",Marvel Studios,3.9947074230769233,20150714,201507,2015
64,254128,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",en,114,US,110000000,473990832,2015-05-27,"Action, Drama, Thriller","New Line Cinema, Village Roadshow Pictures, Flynn Picture Company, Warner Bros. Pictures",4.309007563636364,20150527,201505,2015
65,159824,Hotel Transylvania 2,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",en,89,US,80000000,473200000,2015-09-21,"Animation, Comedy, Family, Fantasy","Columbia Pictures, Sony Pictures Animation, MRC, Sony Pictures Releasing",5.915,20150921,201509,2015
