,id,title,revenue,budget,revenue_per_budget,genres,production_companies,yearmonthday,yearmonth,year
30,82703,Mr. Peabody & Sherman,272912430,145000000,1.8821546896551724,Adventure,"Pacific Data Images, DreamWorks Animation, Bullwinkle Studios",20140207,201402,2014
30,82703,Mr. Peabody & Sherman,272912430,145000000,1.8821546896551724,Family,"Pacific Data Images, DreamWorks Animation, Bullwinkle Studios",20140207,201402,2014
31,195589,Neighbors,270665134,18000000,15.036951888888888,Comedy,"Good Universe, Universal Pictures, Point Grey Pictures",20140508,201405,2014
32,147441,Exodus: Gods and Kings,268031828,140000000,1.9145130571428572,Adventure,"20th Century Fox, TSG Entertainment, Chernin Entertainment, Babieka Films, Volcano Films, Scott Free Productions",20141203,201412,2014
32,147441,Exodus: Gods and Kings,268031828,140000000,1.9145130571428572,Drama,"20th Century Fox, TSG Entertainment, Chernin Entertainment, Babieka Films, Volcano Films, Scott Free Productions",20141203,201412,2014
32,147441,Exodus: Gods and Kings,268031828,140000000,1.9145130571428572,Action,"20th Century Fox, TSG Entertainment, Chernin Entertainment, Babieka Films, Volcano Films, Scott Free Productions",20141203,201412,2014
33,250546,Annabelle,257589952,6500000,39.629223384615386,Horror,"Atomic Monster, New Line Cinema, The Safran Company, RatPac Entertainment",20141001,201410,2014
34,184315,Hercules,244819862,100000000,2.44819862,Action,"Paramount Pictures, Radical Studios, Flynn Picture Company, Metro-Goldwyn-Mayer",20140723,201407,2014
34,184315,Hercules,244819862,100000000,2.44819862,Adventure,"Paramount Pictures, Radical Studios, Flynn Picture Company, Metro-Goldwyn-Mayer",20140723,201407,2014
35,97020,RoboCop,242688965,120000000,2.0224080416666665,Science Fiction,"Metro-Goldwyn-Mayer, Columbia Pictures, Strike Entertainment",20140130,201401,2014
35,97020,RoboCop,242688965,120000000,2.0224080416666665,Action,"Metro-Goldwyn-Mayer, Columbia Pictures, Strike Entertainment",20140130,201401,2014
35,97020,RoboCop,242688965,120000000,2.0224080416666665,Crime,"Metro-Goldwyn-Mayer, Columbia Pictures, Strike Entertainment",20140130,201401,2014
36,205596,The Imitation Game,233555708,14000000,16.68255057142857,History,"Bristol Automotive, Black Bear Pictures, FilmNation Entertainment",20141114,201411,2014
36,205596,The Imitation Game,233555708,14000000,16.68255057142857,Drama,"Bristol Automotive, Black Bear Pictures, FilmNation Entertainment",20141114,201411,2014
36,205596,The Imitation Game,233555708,14000000,16.68255057142857,Thriller,"Bristol Automotive, Black Bear Pictures, FilmNation Entertainment",20141114,201411,2014
36,205596,The Imitation Game,233555708,14000000,16.68255057142857,War,"Bristol Automotive, Black Bear Pictures, FilmNation Entertainment",20141114,201411,2014
37,225574,Non-Stop,222809600,50000000,4.456192,Action,"Silver Pictures, StudioCanal, Anton Capital Entertainment, LOVEFiLM International",20140226,201402,2014
37,225574,Non-Stop,222809600,50000000,4.456192,Thriller,"Silver Pictures, StudioCanal, Anton Capital Entertainment, LOVEFiLM International",20140226,201402,2014
37,225574,Non-Stop,222809600,50000000,4.456192,Mystery,"Silver Pictures, StudioCanal, Anton Capital Entertainment, LOVEFiLM International",20140226,201402,2014
38,49017,Dracula Untold,217124280,70000000,3.1017754285714285,Horror,"Universal Pictures, Legendary Pictures, Michael De Luca Productions",20141001,201410,2014
38,49017,Dracula Untold,217124280,70000000,3.1017754285714285,Action,"Universal Pictures, Legendary Pictures, Michael De Luca Productions",20141001,201410,2014
38,49017,Dracula Untold,217124280,70000000,3.1017754285714285,Fantasy,"Universal Pictures, Legendary Pictures, Michael De Luca Productions",20141001,201410,2014
39,138103,The Expendables 3,214657577,95000000,2.259553442105263,Action,"Davis Films, Ex3 Productions, Fipex Holding, Lionsgate, Millennium Media, Nu Image Entertainment",20140807,201408,2014
39,138103,The Expendables 3,214657577,95000000,2.259553442105263,Adventure,"Davis Films, Ex3 Productions, Fipex Holding, Lionsgate, Millennium Media, Nu Image Entertainment",20140807,201408,2014
39,138103,The Expendables 3,214657577,95000000,2.259553442105263,Thriller,"Davis Films, Ex3 Productions, Fipex Holding, Lionsgate, Millennium Media, Nu Image Entertainment",20140807,201408,2014
40,224141,Into the Woods,212902372,50000000,4.25804744,Fantasy,"Walt Disney Pictures, Marc Platt Productions, Lucamar Productions",20141224,201412,2014
40,224141,Into the Woods,212902372,50000000,4.25804744,Comedy,"Walt Disney Pictures, Marc Platt Productions, Lucamar Productions",20141224,201412,2014
41,228150,Fury,211817906,68000000,3.114969205882353,War,"Columbia Pictures, QED International, LStar Capital, Le Grisbi Productions, Crave Films",20141015,201410,2014
41,228150,Fury,211817906,68000000,3.114969205882353,Drama,"Columbia Pictures, QED International, LStar Capital, Le Grisbi Productions, Crave Films",20141015,201410,2014
41,228150,Fury,211817906,68000000,3.114969205882353,Action,"Columbia Pictures, QED International, LStar Capital, Le Grisbi Productions, Crave Films",20141015,201410,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,Action,"DreamWorks Pictures, Reliance Entertainment, Bandito Brothers, Mark Sourian Productions, John Gatins Productions, Touchstone Pictures, Electronic Arts",20140312,201403,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,Crime,"DreamWorks Pictures, Reliance Entertainment, Bandito Brothers, Mark Sourian Productions, John Gatins Productions, Touchstone Pictures, Electronic Arts",20140312,201403,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,Drama,"DreamWorks Pictures, Reliance Entertainment, Bandito Brothers, Mark Sourian Productions, John Gatins Productions, Touchstone Pictures, Electronic Arts",20140312,201403,2014
42,136797,Need for Speed,203277636,66000000,3.0799641818181818,Thriller,"DreamWorks Pictures, Reliance Entertainment, Bandito Brothers, Mark Sourian Productions, John Gatins Productions, Touchstone Pictures, Electronic Arts",20140312,201403,2014
43,193610,The Other Woman,196800000,40000000,4.92,Comedy,"LBI Productions, 20th Century Fox, TSG Entertainment",20140416,201404,2014
43,193610,The Other Woman,196800000,40000000,4.92,Romance,"LBI Productions, 20th Century Fox, TSG Entertainment",20140416,201404,2014
44,156022,The Equalizer,192330738,55000000,3.496922509090909,Thriller,"Lonetree Entertainment, Columbia Pictures, Village Roadshow Pictures, Escape Artists, LStar Capital, Mace Neufeld Productions",20140924,201409,2014
44,156022,The Equalizer,192330738,55000000,3.496922509090909,Action,"Lonetree Entertainment, Columbia Pictures, Village Roadshow Pictures, Escape Artists, LStar Capital, Mace Neufeld Productions",20140924,201409,2014
44,156022,The Equalizer,192330738,55000000,3.496922509090909,Crime,"Lonetree Entertainment, Columbia Pictures, Village Roadshow Pictures, Escape Artists, LStar Capital, Mace Neufeld Productions",20140924,201409,2014
45,284298,Breakup Buddies,189000000,0,,Comedy,Dirty Monkey Productions,20140926,201409,2014
45,284298,Breakup Buddies,189000000,0,,Romance,Dirty Monkey Productions,20140926,201409,2014
46,119892,The Monkey King,182206924,82000000,2.2220356585365852,Action,"Filmko Pictures, Mandarin Films, Beijing Wen Hua Dong Run Investment, China Film Group Corporation",20140109,201401,2014
46,119892,The Monkey King,182206924,82000000,2.2220356585365852,Adventure,"Filmko Pictures, Mandarin Films, Beijing Wen Hua Dong Run Investment, China Film Group Corporation",20140109,201401,2014
46,119892,The Monkey King,182206924,82000000,2.2220356585365852,Family,"Filmko Pictures, Mandarin Films, Beijing Wen Hua Dong Run Investment, China Film Group Corporation",20140109,201401,2014
46,119892,The Monkey King,182206924,82000000,2.2220356585365852,Fantasy,"Filmko Pictures, Mandarin Films, Beijing Wen Hua Dong Run Investment, China Film Group Corporation",20140109,201401,2014
47,262391,Serial (Bad) Weddings,176404493,13000000,13.569576384615385,Comedy,UGC,20140416,201404,2014
48,120467,The Grand Budapest Hotel,174600318,30000000,5.8200106,Comedy,"Fox Searchlight Pictures, Studio Babelsberg, Indian Paintbrush, TSG Entertainment, American Empirical Pictures",20140226,201402,2014
48,120467,The Grand Budapest Hotel,174600318,30000000,5.8200106,Drama,"Fox Searchlight Pictures, Studio Babelsberg, Indian Paintbrush, TSG Entertainment, American Empirical Pictures",20140226,201402,2014
49,100042,Dumb and Dumber To,169837010,40000000,4.24592525,Comedy,"New Line Cinema, Universal Pictures, Conundrum Entertainment, Red Granite Pictures",20141112,201411,2014
