id,title,overview,original_language,runtime,origin_country,budget,revenue,release_date,genres,production_companies
758891,"Hi, Mom","Devastated after her mom's serious accident and grief-stricken because she hasn't become the daughter she wanted to be for her mother, Jia Xiaoling finds herself transported back in time to the year 1981, where she meets her young mother before she was her mom.",zh,128,['CN'],59000000,822049668,02-12-21,"Drama, Comedy, Fantasy","Alibaba Pictures Group, Tianjin Maoyan Media, Beijing Big Bowl Entertainment Culture Media, Beijing Culture, Beijing Cheering Times Culture & Entertainment, Shanghai Ruyi Film & TV Production"
370172,No Time to Die,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",en,163,['GB'],250000000,774153024,09-29-21,"Action, Thriller, Adventure","EON Productions, Metro-Goldwyn-Mayer"
385128,F9,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,en,143,['US'],200000000,726229501,05-19-21,"Action, Adventure, Crime","Original Film, One Race, Perfect Storm Entertainment, Universal Pictures, Roth-Kirschenbaum Films"
602666,Detective Chinatown 3,"Tang Ren and Qin Feng travel to Japan to investigate the death of a mafia head. As they suspect foul play, they engage in a battle of wits against foreign detectives.",zh,136,['CN'],117000000,686257563,02-12-21,"Action, Comedy, Mystery","Beijing Yitong Legend Films, China Film Co-Production Corp., As One Production, Wanda Pictures"
580489,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",en,97,['US'],110000000,506863592,09-30-21,"Science Fiction, Action, Adventure","Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Arad Productions"
399566,Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",en,114,['US'],200000000,470116094,03-24-21,"Action, Science Fiction, Adventure",Legendary Pictures
566525,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,en,132,['US'],150000000,432243292,09-01-21,"Action, Adventure, Fantasy",Marvel Studios
438695,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",en,109,['US'],85000000,408402685,12-01-21,"Family, Comedy, Music, Animation",Illumination
438631,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",en,155,['US'],165000000,407573628,09-15-21,"Science Fiction, Adventure",Legendary Pictures
524434,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",en,156,['US'],200000000,402064899,11-03-21,"Science Fiction, Action, Adventure",Marvel Studios
497698,Black Widow,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",en,134,['US'],200000000,379751131,07-07-21,"Action, Adventure, Science Fiction",Marvel Studios
550988,Free Guy,"A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late.",en,115,['US'],110000000,331526598,08-11-21,"Comedy, Adventure, Science Fiction","Berlanti Productions, 21 Laps Entertainment, Maximum Effort, Lit Entertainment Group, 20th Century Studios"
520763,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",en,96,['US'],55000000,297372261,05-21-21,"Science Fiction, Thriller, Horror","Paramount Pictures, Platinum Dunes, Sunday Night Productions"
568124,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",en,102,['US'],150000000,261292688,10-13-21,"Animation, Comedy, Family, Fantasy",Walt Disney Animation Studios
337404,Cruella,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",en,134,['US'],200000000,233503234,05-26-21,"Comedy, Crime, Adventure","Walt Disney Pictures, Gunn Films, Marc Platt Productions"
